,DATA_PEDIDO,HORA_PEDIDO,VALOR_PRODUTOS,TAXA_ENTREGA,TOTAL_PEDIDO,FORMA_PAGAMENTO,AVALIACAO,STATUS,ID_ESTABELECIMENTO,TIPO_ESTABELECIMENTO,ID_USUARIO,DDD_USUARIO,DATA_CADASTRO_USUARIO,PRIMEIRO_PEDIDO,BAIRRO_USUARIO,CIDADE_USUARIO,SO_DISPOSITIVO
23,2016-10-23, 20:08,47.0,4.0,51.0,Dinheiro,4.0,Entregue,16,Lanchonete,68400,77,2016-10-23,Sim,Bela Vista,Vitória da Conquista,Android
24,2016-10-23, 20:51,32.0,4.0,36.0,Dinheiro,0.0,Entregue,16,Lanchonete,68488,77,2016-10-23,Sim,Kadija,Vitória da Conquista,Windows Phone
25,2016-10-24, 21:38,14.5,4.0,18.5,Dinheiro,0.0,Entregue,16,Lanchonete,43624,77,2016-05-14,Não,Candeias,Vitória da Conquista,iOS
26,2016-10-25, 20:41,14.5,4.0,18.5,Dinheiro,0.0,Entregue,16,Lanchonete,17968,77,2015-11-28,Não,Guarani,Vitória da Conquista,Android
27,2016-10-25, 23:13,26.0,4.0,30.0,Dinheiro,0.0,Entregue,16,Lanchonete,4224,77,2015-06-02,Não,Centro,Vitória da Conquista,iOS
28,2016-10-26, 00:32,21.5,4.0,25.5,Dinheiro,1.0,Recusado,16,Lanchonete,22944,77,2016-01-04,Não,Mor. dos Pássaros,Vitória da Conquista,iOS
29,2016-10-26, 20:54,16.5,4.0,20.5,Dinheiro,0.0,Recusado,16,Lanchonete,6000,77,2015-07-22,Não,Boa Vista,Vitória da Conquista,Android
30,2016-10-27, 00:20,24.0,4.0,28.0,Dinheiro,0.0,Recusado,16,Lanchonete,61936,77,2016-09-13,Não,Felícia,Vitória da Conquista,Android
31,2016-10-28, 00:39,27.5,4.0,31.5,Dinheiro,1.0,Entregue,16,Lanchonete,65720,77,2016-10-05,Não,Candeias,Vitória da Conquista,Android
32,2016-10-28, 00:40,14.5,4.0,18.5,Dinheiro,1.0,Entregue,16,Lanchonete,66552,73,2016-10-11,Não,Recreio,Vitória da Conquista,Android
33,2016-10-28, 00:40,28.5,4.0,32.5,Dinheiro,0.0,Entregue,16,Lanchonete,9768,73,2015-09-29,Não,Candeias,Vitória da Conquista,iOS
34,2016-10-28, 19:49,22.0,4.0,26.0,Dinheiro,4.0,Entregue,16,Lanchonete,69352,77,2016-10-28,Sim,Kadija,Vitória da Conquista,Android
35,2016-10-28, 21:51,12.0,4.0,16.0,Dinheiro,0.0,Entregue,16,Lanchonete,3680,77,2015-05-20,Não,Primavera,Vitória da Conquista,Android
36,2016-10-30, 00:28,11.0,4.0,15.0,Dinheiro,0.0,Recusado,16,Lanchonete,43592,77,2016-05-14,Não,Candeias,Vitória da Conquista,iOS
37,2016-10-31, 19:47,16.5,4.0,20.5,Dinheiro,0.0,Entregue,16,Lanchonete,67552,77,2016-10-17,Não,Ibirapuera,Vitória da Conquista,iOS
38,2016-10-31, 22:51,12.0,4.0,16.0,Dinheiro,0.0,Entregue,16,Lanchonete,69920,77,2016-10-31,Sim,Alto Maron,Vitória da Conquista,Android
39,2016-11-01, 23:54,32.5,4.0,36.5,Dinheiro,0.0,Entregue,16,Lanchonete,44800,77,2016-05-22,Não,Urbis VI,Vitória da Conquista,Android
40,2016-07-09, 18:37,10.0,4.0,14.0,Dinheiro,0.0,Entregue,64,Lanchonete,37264,77,2016-04-04,Não,Boa Vista,Vitória da Conquista,iOS
41,2016-07-10, 21:11,17.0,4.0,21.0,Dinheiro,0.0,Entregue,64,Lanchonete,51232,77,2016-07-10,Sim,Candeias,Vitória da Conquista,Android
42,2016-07-11, 19:43,9.0,4.0,13.0,Dinheiro,0.0,Entregue,64,Lanchonete,40744,77,2016-04-26,Não,Bem Querer,Vitória da Conquista,iOS
43,2016-07-12, 19:06,18.0,4.0,22.0,Dinheiro,4.0,Entregue,64,Lanchonete,47784,77,2016-06-12,Não,Centro,Vitória da Conquista,Android
44,2016-07-14, 22:09,34.0,4.0,38.0,Dinheiro,0.0,Entregue,64,Lanchonete,8408,77,2015-09-04,Não,Urbis I,Vitória da Conquista,Android
45,2016-07-15, 20:44,19.0,4.0,23.0,Dinheiro,0.0,Entregue,64,Lanchonete,17240,77,2015-11-23,Não,Candeias,Vitória da Conquista,Android
46,2016-07-16, 23:26,9.0,4.0,13.0,Dinheiro,0.0,Entregue,64,Lanchonete,40744,77,2016-04-26,Não,Bem Querer,Vitória da Conquista,iOS
47,2016-07-17, 22:50,40.0,4.0,44.0,Dinheiro,0.0,Entregue,64,Lanchonete,11008,77,2015-10-16,Não,Felícia,Vitória da Conquista,Android
48,2016-07-18, 00:24,46.0,4.0,50.0,Dinheiro,0.0,Recusado,64,Lanchonete,52224,77,2016-07-18,Sim,Recreio,Vitória da Conquista,PC
49,2016-07-19, 20:23,39.0,4.0,43.0,Dinheiro,0.0,Entregue,64,Lanchonete,16400,77,2015-11-17,Não,Jurema,Vitória da Conquista,Android
50,2016-07-19, 20:49,33.0,4.0,37.0,Dinheiro,0.0,Entregue,64,Lanchonete,4008,77,2015-05-29,Não,Centro,Vitória da Conquista,Android
51,2016-07-19, 22:23,24.0,4.0,28.0,Dinheiro,0.0,Entregue,64,Lanchonete,14160,77,2015-11-03,Não,Guarani,Vitória da Conquista,Android
52,2016-07-19, 23:35,24.0,4.0,28.0,Dinheiro,0.0,Entregue,64,Lanchonete,15648,77,2015-11-14,Não,Felícia,Vitória da Conquista,iOS
53,2016-07-20, 19:05,16.0,4.0,20.0,Dinheiro,0.0,Entregue,64,Lanchonete,33328,77,2016-03-12,Não,Guarani,Vitória da Conquista,Android
54,2016-07-20, 23:13,44.0,4.0,48.0,Dinheiro,0.0,Entregue,64,Lanchonete,27680,77,2016-02-07,Não,Caminho do Parque,Vitória da Conquista,iOS
55,2016-07-21, 18:36,38.0,4.0,42.0,Dinheiro,0.0,Entregue,64,Lanchonete,50424,77,2016-07-02,Não,Boa Vista,Vitória da Conquista,Android
56,2016-07-21, 21:55,11.0,4.0,15.0,Dinheiro,0.0,Entregue,64,Lanchonete,8016,77,2015-08-26,Não,Centro,Vitória da Conquista,Android
57,2016-07-22, 21:07,23.0,4.0,27.0,Dinheiro,0.0,Entregue,64,Lanchonete,33272,77,2016-03-12,Não,Candeias,Vitória da Conquista,Android
58,2016-07-24, 19:49,11.0,4.0,15.0,Dinheiro,0.0,Entregue,64,Lanchonete,16184,77,2015-11-16,Não,Centro,Vitória da Conquista,Android
59,2016-07-24, 22:49,32.0,4.0,36.0,Dinheiro,0.0,Entregue,64,Lanchonete,43688,77,2016-05-15,Não,Candeias,Vitória da Conquista,iOS
60,2016-07-26, 20:18,14.0,4.0,18.0,Dinheiro,0.0,Entregue,64,Lanchonete,28616,77,2016-02-13,Não,Candeias,Vitória da Conquista,Android
61,2016-07-26, 20:22,36.0,4.0,40.0,Dinheiro,0.0,Entregue,64,Lanchonete,14160,77,2015-11-03,Não,Guarani,Vitória da Conquista,Android
62,2016-07-26, 21:27,47.0,4.0,51.0,Dinheiro,2.0,Entregue,64,Lanchonete,53016,77,2016-07-22,Não,Candeias,Vitória da Conquista,iOS
63,2016-07-26, 22:00,10.0,4.0,14.0,Dinheiro,0.0,Entregue,64,Lanchonete,36112,73,2016-03-28,Não,Candeias,Vitória da Conquista,Android
64,2016-07-27, 20:39,19.0,4.0,23.0,Dinheiro,0.0,Entregue,64,Lanchonete,52968,77,2016-07-21,Não,Candeias,Vitória da Conquista,iOS
65,2016-07-27, 20:46,14.0,4.0,18.0,Dinheiro,0.0,Entregue,64,Lanchonete,3280,77,2015-05-14,Não,Ibirapuera,Vitória da Conquista,iOS
66,2016-07-27, 21:33,31.0,4.0,35.0,Dinheiro,0.0,Entregue,64,Lanchonete,48640,41,2016-06-16,Não,Centro,Vitória da Conquista,iOS
67,2016-07-27, 22:46,18.0,4.0,22.0,Dinheiro,2.0,Entregue,64,Lanchonete,16400,77,2015-11-17,Não,Jurema,Vitória da Conquista,Android
68,2016-07-28, 19:01,26.0,4.0,30.0,Dinheiro,0.0,Entregue,64,Lanchonete,800,77,2015-03-05,Não,Recreio,Vitória da Conquista,Android
69,2016-07-28, 23:53,24.0,4.0,28.0,Dinheiro,0.0,Entregue,64,Lanchonete,51376,77,2016-07-11,Não,Boa Vista,Vitória da Conquista,iOS
70,2016-07-30, 21:03,29.0,4.0,33.0,Dinheiro,0.0,Entregue,64,Lanchonete,48784,77,2016-06-18,Não,Bela Vista,Vitória da Conquista,iOS
71,2016-07-31, 22:46,20.0,4.0,24.0,Dinheiro,0.0,Entregue,64,Lanchonete,29568,77,2016-02-17,Não,Alto Maron,Vitória da Conquista,Android
72,2016-07-31, 23:16,17.0,4.0,21.0,Dinheiro,0.0,Entregue,64,Lanchonete,9552,77,2015-09-27,Não,Jd. Guanabara,Vitória da Conquista,Android
74,2016-08-01, 00:18,16.0,4.0,20.0,Dinheiro,0.0,Entregue,64,Lanchonete,51752,77,2016-07-14,Não,Nova Cidade,Vitória da Conquista,Android
75,2016-08-01, 20:31,29.0,4.0,33.0,Dinheiro,0.0,Entregue,64,Lanchonete,49208,77,2016-06-21,Não,Bela Vista,Vitória da Conquista,Android
76,2016-08-02, 19:07,25.0,5.0,30.0,Dinheiro,0.0,Entregue,64,Lanchonete,656,77,2015-03-03,Não,Vila Serrana,Vitória da Conquista,Android
77,2016-08-02, 19:37,16.0,4.0,20.0,Dinheiro,0.0,Entregue,64,Lanchonete,42600,77,2016-05-09,Não,Mor. dos Pássaros,Vitória da Conquista,iOS
78,2016-08-02, 20:14,25.0,4.0,29.0,Dinheiro,0.0,Entregue,64,Lanchonete,53304,77,2016-07-24,Não,Candeias,Vitória da Conquista,iOS
79,2016-08-02, 20:33,40.0,4.0,44.0,Dinheiro,0.0,Entregue,64,Lanchonete,34248,77,2016-03-17,Não,Guarani,Vitória da Conquista,iOS
80,2016-08-02, 21:14,38.0,4.0,42.0,Dinheiro,0.0,Entregue,64,Lanchonete,41928,77,2016-05-03,Não,Boa Vista,Vitória da Conquista,iOS
81,2016-08-02, 23:56,25.0,4.0,29.0,Dinheiro,0.0,Entregue,64,Lanchonete,35248,77,2016-03-22,Não,Candeias,Vitória da Conquista,Android
82,2016-08-03, 22:11,17.0,4.0,21.0,Dinheiro,0.0,Entregue,64,Lanchonete,41120,77,2016-04-27,Não,Candeias,Vitória da Conquista,iOS
83,2016-08-04, 22:18,20.0,4.0,24.0,Dinheiro,0.0,Entregue,64,Lanchonete,29568,77,2016-02-17,Não,Alto Maron,Vitória da Conquista,Android
84,2016-08-04, 22:57,13.0,4.0,17.0,Dinheiro,0.0,Entregue,64,Lanchonete,27736,77,2016-02-07,Não,Santa Cecília,Vitória da Conquista,iOS
85,2016-08-04, 23:16,35.0,4.0,39.0,Dinheiro,0.0,Entregue,64,Lanchonete,19728,77,2015-12-10,Não,Urbis I,Vitória da Conquista,Android
86,2016-08-05, 19:40,35.0,4.0,39.0,Dinheiro,4.0,Entregue,64,Lanchonete,24808,73,2016-01-18,Não,Recreio,Vitória da Conquista,Android
87,2016-08-05, 21:30,13.0,4.0,17.0,Dinheiro,0.0,Entregue,64,Lanchonete,11008,77,2015-10-16,Não,Felícia,Vitória da Conquista,Android
88,2016-08-06, 18:21,12.0,4.0,16.0,Dinheiro,0.0,Entregue,64,Lanchonete,15720,77,2015-11-14,Não,Guarani,Vitória da Conquista,Android
89,2016-08-06, 20:24,30.0,4.0,34.0,Dinheiro,0.0,Entregue,64,Lanchonete,19728,77,2015-12-10,Não,Urbis I,Vitória da Conquista,Android
90,2016-08-06, 20:32,14.0,4.0,18.0,Dinheiro,0.0,Entregue,64,Lanchonete,34248,77,2016-03-17,Não,Guarani,Vitória da Conquista,iOS
91,2016-08-06, 23:40,27.0,4.0,31.0,Dinheiro,5.0,Entregue,64,Lanchonete,33696,77,2016-03-14,Não,Alto Maron,Vitória da Conquista,Android
92,2016-08-07, 20:11,28.0,4.0,32.0,Dinheiro,0.0,Entregue,64,Lanchonete,17224,77,2015-11-23,Não,Centro,Vitória da Conquista,iOS
93,2016-08-07, 21:31,11.0,4.0,15.0,Dinheiro,0.0,Entregue,64,Lanchonete,3680,77,2015-05-20,Não,Primavera,Vitória da Conquista,Android
94,2016-08-07, 22:21,33.0,4.0,37.0,Dinheiro,0.0,Entregue,64,Lanchonete,52336,77,2016-07-18,Não,Guarani,Vitória da Conquista,Android
95,2016-08-08, 18:35,37.0,4.0,41.0,Dinheiro,0.0,Recusado,64,Lanchonete,35248,77,2016-03-22,Não,Candeias,Vitória da Conquista,Android
96,2016-08-09, 18:41,14.0,4.0,18.0,Dinheiro,0.0,Entregue,64,Lanchonete,44312,77,2016-05-18,Não,Recreio,Vitória da Conquista,Android
97,2016-08-09, 18:45,29.0,4.0,33.0,Dinheiro,0.0,Entregue,64,Lanchonete,9552,77,2015-09-27,Não,Jd. Guanabara,Vitória da Conquista,Android
98,2016-08-09, 19:37,38.0,4.0,42.0,Dinheiro,0.0,Entregue,64,Lanchonete,16864,77,2015-11-20,Não,Candeias,Vitória da Conquista,iOS
99,2016-08-09, 20:26,22.0,4.0,26.0,Dinheiro,0.0,Recusado,64,Lanchonete,55592,71,2016-08-09,Sim,Candeias,Vitória da Conquista,iOS
100,2016-08-10, 00:02,16.0,4.0,20.0,Dinheiro,0.0,Entregue,64,Lanchonete,36680,77,2016-03-30,Não,Ibirapuera,Vitória da Conquista,Android
101,2016-08-10, 19:46,23.0,4.0,27.0,Dinheiro,0.0,Entregue,64,Lanchonete,45128,77,2016-05-24,Não,Candeias,Vitória da Conquista,iOS
102,2016-08-10, 20:30,29.0,4.0,33.0,Dinheiro,0.0,Entregue,64,Lanchonete,48784,77,2016-06-18,Não,Bela Vista,Vitória da Conquista,iOS
104,2016-08-11, 23:24,29.0,5.0,34.0,Dinheiro,0.0,Entregue,64,Lanchonete,21448,77,2015-12-22,Não,Urbis III,Vitória da Conquista,PC
105,2016-08-12, 21:28,12.0,4.0,16.0,Dinheiro,0.0,Entregue,64,Lanchonete,27632,77,2016-02-07,Não,Recreio,Vitória da Conquista,Android
106,2016-08-14, 21:13,38.0,4.0,42.0,Dinheiro,0.0,Entregue,64,Lanchonete,41928,77,2016-05-03,Não,Boa Vista,Vitória da Conquista,iOS
107,2016-08-14, 22:06,12.0,4.0,16.0,Dinheiro,0.0,Entregue,64,Lanchonete,56336,33,2016-08-14,Sim,Boa Vista,Vitória da Conquista,iOS
108,2016-08-14, 23:03,16.0,4.0,20.0,Dinheiro,0.0,Entregue,64,Lanchonete,23440,73,2016-01-06,Não,Candeias,Vitória da Conquista,iOS
109,2016-08-14, 23:04,12.0,4.0,16.0,Dinheiro,0.0,Recusado,64,Lanchonete,3680,77,2015-05-20,Não,Primavera,Vitória da Conquista,Android
110,2016-08-14, 23:57,28.0,4.0,32.0,Dinheiro,0.0,Entregue,64,Lanchonete,14160,77,2015-11-03,Não,Guarani,Vitória da Conquista,Android
111,2016-08-15, 20:43,17.0,4.0,21.0,Dinheiro,0.0,Entregue,64,Lanchonete,10392,87,2015-10-07,Não,Bem Querer,Vitória da Conquista,Android
112,2016-08-16, 19:22,16.0,4.0,20.0,Dinheiro,0.0,Entregue,64,Lanchonete,56808,77,2016-08-16,Sim,Alto Maron,Vitória da Conquista,Android
113,2016-08-16, 19:35,25.0,5.0,30.0,Dinheiro,0.0,Entregue,64,Lanchonete,656,77,2015-03-03,Não,Vila Serrana,Vitória da Conquista,Android
114,2016-08-16, 20:54,34.0,4.0,38.0,Dinheiro,0.0,Entregue,64,Lanchonete,33696,77,2016-03-14,Não,Alto Maron,Vitória da Conquista,Android
115,2016-08-16, 21:02,12.0,4.0,16.0,Dinheiro,0.0,Recusado,64,Lanchonete,27632,77,2016-02-07,Não,Recreio,Vitória da Conquista,Android
116,2016-08-16, 21:08,23.0,4.0,27.0,Dinheiro,0.0,Entregue,64,Lanchonete,41928,77,2016-05-03,Não,Boa Vista,Vitória da Conquista,iOS
117,2016-08-16, 22:22,13.0,4.0,17.0,Dinheiro,0.0,Entregue,64,Lanchonete,51832,77,2016-07-14,Não,Felícia,Vitória da Conquista,Android
118,2016-08-19, 18:47,30.0,4.0,34.0,Dinheiro,0.0,Entregue,64,Lanchonete,16864,77,2015-11-20,Não,Candeias,Vitória da Conquista,iOS
119,2016-08-19, 23:02,36.0,4.0,40.0,Dinheiro,0.0,Entregue,64,Lanchonete,39400,77,2016-04-17,Não,Candeias,Vitória da Conquista,PC
120,2016-08-20, 00:17,29.0,4.0,33.0,Dinheiro,0.0,Entregue,64,Lanchonete,14808,77,2015-11-07,Não,Brasil,Vitória da Conquista,Android
121,2016-08-20, 19:38,40.0,4.0,44.0,Dinheiro,0.0,Entregue,64,Lanchonete,41064,77,2016-04-26,Não,Recreio,Vitória da Conquista,iOS
123,2016-08-22, 18:55,31.0,4.0,35.0,Dinheiro,0.0,Entregue,64,Lanchonete,800,77,2015-03-05,Não,Recreio,Vitória da Conquista,Android
124,2016-08-22, 20:08,30.0,4.0,34.0,Dinheiro,0.0,Entregue,64,Lanchonete,57696,77,2016-08-22,Sim,Candeias,Vitória da Conquista,Android
125,2016-08-22, 23:44,28.0,4.0,32.0,Dinheiro,0.0,Entregue,64,Lanchonete,57840,77,2016-08-22,Sim,Candeias,Vitória da Conquista,PC
126,2016-08-22, 23:53,22.0,4.0,26.0,Dinheiro,1.0,Entregue,64,Lanchonete,56672,77,2016-08-15,Não,Candeias,Vitória da Conquista,iOS
127,2016-08-23, 19:01,34.0,4.0,38.0,Dinheiro,0.0,Entregue,64,Lanchonete,14160,77,2015-11-03,Não,Guarani,Vitória da Conquista,Android
128,2016-08-23, 19:17,10.0,4.0,14.0,Dinheiro,5.0,Entregue,64,Lanchonete,5664,77,2015-07-13,Não,Guarani,Vitória da Conquista,Android
129,2016-08-23, 19:18,36.0,4.0,40.0,Dinheiro,5.0,Entregue,64,Lanchonete,41304,77,2016-04-29,Não,Boa Vista,Vitória da Conquista,Android
130,2016-08-23, 19:32,26.0,4.0,30.0,Dinheiro,0.0,Entregue,64,Lanchonete,9048,77,2015-09-17,Não,Centro,Vitória da Conquista,Android
131,2016-08-23, 20:10,23.0,4.0,27.0,Dinheiro,0.0,Entregue,64,Lanchonete,48760,77,2016-06-18,Não,Boa Vista,Vitória da Conquista,iOS
132,2016-08-23, 20:16,12.0,4.0,16.0,Dinheiro,0.0,Entregue,64,Lanchonete,47032,77,2016-06-07,Não,Boa Vista,Vitória da Conquista,iOS
133,2016-08-23, 22:17,13.0,4.0,17.0,Dinheiro,0.0,Recusado,64,Lanchonete,28544,77,2016-02-12,Não,Caminho do Parque,Vitória da Conquista,Android
134,2016-08-23, 23:19,17.0,4.0,21.0,Dinheiro,0.0,Entregue,64,Lanchonete,52968,77,2016-07-21,Não,Candeias,Vitória da Conquista,iOS
135,2016-08-23, 23:31,15.0,4.0,19.0,Dinheiro,3.0,Entregue,64,Lanchonete,44312,77,2016-05-18,Não,Recreio,Vitória da Conquista,Android
136,2016-08-25, 21:13,32.0,4.0,36.0,Dinheiro,0.0,Entregue,64,Lanchonete,36816,71,2016-03-31,Não,Candeias,Vitória da Conquista,iOS
137,2016-08-25, 21:57,14.0,4.0,18.0,Dinheiro,0.0,Entregue,64,Lanchonete,4080,77,2015-05-30,Não,Boa Vista,Vitória da Conquista,iOS
138,2016-08-26, 19:34,24.0,4.0,28.0,Dinheiro,0.0,Entregue,64,Lanchonete,48784,77,2016-06-18,Não,Bela Vista,Vitória da Conquista,iOS
139,2016-08-27, 18:09,38.0,4.0,42.0,Dinheiro,0.0,Recusado,64,Lanchonete,41304,77,2016-04-29,Não,Boa Vista,Vitória da Conquista,Android
140,2016-08-29, 00:10,20.0,4.0,24.0,Dinheiro,0.0,Entregue,64,Lanchonete,22240,77,2015-12-29,Não,Candeias,Vitória da Conquista,iOS
141,2016-08-29, 18:26,19.0,4.0,23.0,Dinheiro,0.0,Entregue,64,Lanchonete,45128,77,2016-05-24,Não,Candeias,Vitória da Conquista,iOS
142,2016-08-30, 20:59,29.0,5.0,34.0,Dinheiro,0.0,Entregue,64,Lanchonete,9552,77,2015-09-27,Não,Zabelê,Vitória da Conquista,Android
143,2016-08-30, 23:17,16.0,4.0,20.0,Dinheiro,0.0,Entregue,64,Lanchonete,53760,77,2016-07-26,Não,Candeias,Vitória da Conquista,iOS
144,2016-08-30, 23:25,12.0,4.0,16.0,Dinheiro,0.0,Entregue,64,Lanchonete,24912,77,2016-01-18,Não,Recreio,Vitória da Conquista,Android
145,2016-08-31, 20:20,28.0,4.0,32.0,Dinheiro,0.0,Recusado,64,Lanchonete,14160,77,2015-11-03,Não,Guarani,Vitória da Conquista,Android
146,2016-08-31, 20:39,34.0,4.0,38.0,Dinheiro,0.0,Entregue,64,Lanchonete,7016,77,2015-08-10,Não,Urbis I,Vitória da Conquista,Android
147,2016-08-31, 20:57,39.0,4.0,43.0,Dinheiro,0.0,Recusado,64,Lanchonete,7504,77,2015-08-18,Não,Cidade Modelo,Vitória da Conquista,Android
148,2016-08-31, 21:20,28.0,4.0,32.0,Dinheiro,0.0,Entregue,64,Lanchonete,14160,77,2015-11-03,Não,Guarani,Vitória da Conquista,Android
149,2016-08-31, 21:47,29.0,4.0,33.0,Dinheiro,5.0,Entregue,64,Lanchonete,59464,77,2016-08-31,Sim,Recreio,Vitória da Conquista,Android
151,2016-08-31, 22:31,40.0,4.0,44.0,Dinheiro,0.0,Entregue,64,Lanchonete,21352,77,2015-12-22,Não,Guarani,Vitória da Conquista,Android
152,2016-08-31, 23:05,13.0,4.0,17.0,Dinheiro,0.0,Recusado,64,Lanchonete,59504,77,2016-08-31,Sim,Bateias,Vitória da Conquista,Android
153,2016-08-31, 23:49,34.0,5.0,39.0,Dinheiro,5.0,Entregue,64,Lanchonete,59520,77,2016-08-31,Sim,Urbis VI,Vitória da Conquista,Android
154,2016-09-01, 18:50,19.0,4.0,23.0,Dinheiro,0.0,Entregue,64,Lanchonete,52864,77,2016-07-20,Não,Recreio,Vitória da Conquista,Android
155,2016-09-01, 20:08,17.0,4.0,21.0,Dinheiro,0.0,Recusado,64,Lanchonete,8472,77,2015-09-05,Não,Candeias,Vitória da Conquista,PC
157,2016-09-01, 21:58,44.0,4.0,48.0,Dinheiro,0.0,Entregue,64,Lanchonete,59736,77,2016-09-01,Sim,Centro,Vitória da Conquista,Android
158,2016-09-01, 22:15,14.0,4.0,18.0,Dinheiro,0.0,Recusado,64,Lanchonete,59744,77,2016-09-01,Sim,Boa Vista,Vitória da Conquista,iOS
159,2016-09-01, 22:23,27.0,4.0,31.0,Dinheiro,0.0,Entregue,64,Lanchonete,16400,77,2015-11-17,Não,Jurema,Vitória da Conquista,Android
160,2016-09-01, 22:34,33.0,4.0,37.0,Dinheiro,0.0,Entregue,64,Lanchonete,2056,77,2015-03-30,Não,Candeias,Vitória da Conquista,Android
161,2016-09-02, 18:30,10.0,4.0,14.0,Dinheiro,0.0,Entregue,64,Lanchonete,52864,77,2016-07-20,Não,Recreio,Vitória da Conquista,Android
162,2016-09-02, 19:41,12.0,4.0,16.0,Dinheiro,0.0,Entregue,64,Lanchonete,1544,77,2015-03-18,Não,Patagônia,Vitória da Conquista,Android
163,2016-09-02, 21:28,24.0,4.0,28.0,Dinheiro,0.0,Entregue,64,Lanchonete,9680,77,2015-09-28,Não,Inocoop I,Vitória da Conquista,iOS
